Nombre_cientifico,Zona_4,Zona_5,Zona_3,Zona_1
Adonidia merrillii,0.001,0.0,0.0,0.0
Agave angustifolia,0.0,0.0,0.0005,0.0
Alocasia wentii,0.0,0.0,0.0029,0.0
Azadirachta indica,0.0247,0.0,0.0,0.0
Beaucarnea recurvata,0.0006,0.0,0.0,0.0
Bismarckia nobilis,0.0126,0.0,0.0,0.0
Cereus repandus,0.0091,0.0,0.0,0.0
Citrus limon,0.0,0.0058,0.0,0.0
Codiaeum variegatum,0.004,0.0007,0.0,0.0
Cordia sebestena,0.0,0.0323,0.0,0.0
Cordyline fruticosa,0.0044,0.0,0.0001,0.0
Cycas revoluta,0.001,0.0,0.0,0.0
Cymbopogon citratus,0.0,0.0,0.0001,0.0
Delonix regia,0.6132,0.0,0.0,0.0
Dypsis lutescens,0.0116,0.0204,0.0,0.0
Epipremnum aureum,0.0005,0.0,0.0,0.0
Euphorbia lactea,0.0,0.0003,0.0,0.0
Ficus benjamina,0.1935,0.0323,0.0,0.0
Gardenia jasminoides,0.0018,0.0007,0.0,0.0
Gliricidia sepium,0.0,0.1454,0.0,0.0
Ixora coccinea,0.0196,0.0,0.0,0.0
Livistona saribus,0.0,0.0126,0.0,0.0
Mangifera indica,0.0452,0.2719,0.1021,0.1217999999999999
Manihot esculenta,0.0,0.0,0.0018,0.0
Morinda citrifolia,0.0065,0.0,0.0,0.0
Opuntia ficus-indica,0.001,0.0060999999999999,0.0009,0.0
Parmentiera cereifera,0.0033,0.0,0.0,0.0
Phoenix roebelenii,0.0015,0.0,0.0,0.0
Pimenta dioica,0.0,0.0182,0.0,0.0
Plumeria rubra,0.0091,0.0,0.0,0.0
Polyscias guilfoyleae,0.0003,0.0005,0.0,0.0
Rhapis excelsa,0.0004,0.0,0.0,0.0
Roystonea regia,0.0253,0.0,0.0,0.0
Spathodea campanulata,0.0,0.0818,0.0,0.0
Tabebuia aurea,0.0,0.4265,0.0,0.0
Tabernaemontana divaricata,0.0,0.0013,0.0,0.0
Terminalia catappa,0.0161,0.0323,0.0,0.0217
Thrinax radiata,0.0023,0.0,0.0,0.0
Trachycarpus martianus,0.005,0.002,0.0,0.0
Tradescantia pallida,0.0,0.0,0.0023,0.0
Washingtonia robusta,0.0,0.0081,0.0,0.0
Yucca elephantippes,0.0,0.0005,0.0,0.0
