Nombre_cientifico,grupo,origen,notas
Adonidia merrillii,Flora,Introducida,Ornamental
Agave angustifolia,Flora,Introducida,Ornamental
Alocasia wentii,Flora,Introducida,Ornamental
Azadirachta indica,Flora,Introducida,Ornamental
Beaucarnea recurvata,Flora,Introducida,Ornamental
Bismarckia nobilis,Flora,Introducida,Ornamental
Cereus repandus,Flora,Introducida,Ornamental
Citrus limon,Flora,Introducida,Ornamental
Codiaeum variegatum,Flora,Introducida,Ornamental
Cordia sebestena,Flora,Introducida,Ornamental
Cordyline fruticosa,Flora,Introducida,Ornamental
Cycas revoluta,Flora,Introducida,Ornamental
Cymbopogon citratus,Flora,Introducida,Ornamental
Delonix regia,Flora,Introducida,Ornamental
Dypsis lutescens,Flora,Introducida,Ornamental
Epipremnum aureum,Flora,Introducida,Ornamental
Euphorbia lactea,Flora,Introducida,Ornamental
Ficus benjamina,Flora,Introducida,Ornamental
Gardenia jasminoides,Flora,Introducida,Ornamental
Gliricidia sepium,Flora,Introducida,Ornamental
Ixora coccinea,Flora,Introducida,Unico recurso floral con actividad de polinizadores registrada
Livistona saribus,Flora,Introducida,Ornamental
Mangifera indica,Flora,Introducida,Unica especie presente en las cuatro zonas
Manihot esculenta,Flora,Introducida,Ornamental
Morinda citrifolia,Flora,Introducida,Ornamental
Opuntia ficus-indica,Flora,Introducida,Ornamental
Parmentiera cereifera,Flora,Introducida,Ornamental
Phoenix roebelenii,Flora,Introducida,Ornamental
Pimenta dioica,Flora,Introducida,Ornamental
Plumeria rubra,Flora,Introducida,Ornamental
Polyscias guilfoyleae,Flora,Introducida,Ornamental
Rhapis excelsa,Flora,Introducida,Ornamental
Roystonea regia,Flora,Introducida,Ornamental
Spathodea campanulata,Flora,Introducida,Altura medida en campo (22.35 m); celda vacia en el .ods original
Tabebuia aurea,Flora,Introducida,Mayor cobertura de la Zona 5 (42.65 %)
Tabernaemontana divaricata,Flora,Introducida,Ornamental
Terminalia catappa,Flora,Introducida,Ornamental
Thrinax radiata,Flora,Introducida,Ornamental
Trachycarpus martianus,Flora,Introducida,Ornamental
Tradescantia pallida,Flora,Introducida,Ornamental
Washingtonia robusta,Flora,Introducida,Ornamental
Yucca elephantippes,Flora,Introducida,Ornamental
Columbina buckleyi,Ave,Nativa,Detectada en las cuatro zonas
Columba livia,Ave,Introducida,Exclusiva de la Zona 1 (estacionamiento)
Euphonia xanthogaster,Ave,Nativa,Frugivoro especialista; se desplaza en bandadas mixtas
Quiscalus mexicanus,Ave,Nativa,Exclusiva de la Zona 1; una sola deteccion (campana 2)
Thraupis episcopus,Ave,Nativa,Omnivoro con dominancia frugivora
Troglodytes musculus,Ave,Nativa,Insectivoro de sotobosque
Anolis sagrei,Reptil,Introducida,Generalista exitoso en habitats urbanos
Iguana iguana,Reptil,Nativa,Herbivoro arboreo
Apis mellifera,Insecto,Introducida,Abundancia extrapolada; 90.1-95.7 % de los registros de fauna de la Zona 4
