Nombre_cientifico,forma_crecimiento,H_m,fenologia,forma_hoja,dispersion,LDMC,SLA
Adonidia merrillii,Palma,4.0,Perenne,Compuesta (palma),Zoocoria,0.338,6329.14
Agave angustifolia,Suculenta,1.2,Perenne,Suculenta/reducida,Autocoria,0.213,6009.758
Alocasia wentii,Hierba,0.8,Perenne,Simple,Autocoria,0.582,1658.017
Azadirachta indica,Árbol,7.07,Perenne,Compuesta,Zoocoria,0.412,21235.0
Beaucarnea recurvata,Árbol,4.5,Perenne,Simple,Anemocoria,0.497,7431.2
Bismarckia nobilis,Palma,9.855,Perenne,Compuesta (palma),Zoocoria,0.359,6294.128
Cereus repandus,Cactus,6.528,Perenne,Suculenta/reducida,Zoocoria,0.192,3698.61
Citrus limon,Árbol,3.2,Perenne,Simple,Zoocoria,0.09,9902.652
Codiaeum variegatum,Arbusto,1.1,Perenne,Simple,Autocoria,0.607,1783.529
Cordia sebestena,Árbol,20.292,Perenne,Simple,Zoocoria,0.333,2940.542
Cordyline fruticosa,Arbusto,1.15,Perenne,Simple,Zoocoria,0.218,6958.577
Cycas revoluta,Cícada,1.5,Perenne,Compuesta,Zoocoria,0.222,2180.698
Cymbopogon citratus,Hierba,1.0,Perenne,Simple,Anemocoria,0.299,5465.333
Delonix regia,Árbol,9.676,Caducifolia,Compuesta,Anemocoria,0.139,2901.226
Dypsis lutescens,Palma,4.0,Perenne,Compuesta (palma),Zoocoria,0.471,13141.5
Epipremnum aureum,Trepadora,5.0,Perenne,Simple,Autocoria,0.117,21369.365
Euphorbia lactea,Suculenta,1.8,Perenne,Suculenta/reducida,Autocoria,0.406,957.262
Ficus benjamina,Árbol,5.2,Perenne,Simple,Zoocoria,0.083,5506.6
Gardenia jasminoides,Arbusto,1.2,Perenne,Simple,Zoocoria,0.322,317.457
Gliricidia sepium,Árbol,20.79,Caducifolia,Compuesta,Anemocoria,0.374,22541.25
Ixora coccinea,Arbusto,0.8,Perenne,Simple,Zoocoria,0.536,11356.1
Livistona saribus,Palma,14.08,Perenne,Compuesta (palma),Zoocoria,0.241,9450.575
Mangifera indica,Árbol,14.212,Perenne,Simple,Zoocoria,0.217,12721.0
Manihot esculenta,Arbusto,3.0,Perenne,Simple,Autocoria,0.235,27365.6
Morinda citrifolia,Árbol pequeño,6.552,Perenne,Simple,Zoocoria,0.194,11355.851
Opuntia ficus-indica,Cactus,2.0,Perenne,Suculenta/reducida,Zoocoria,0.307,4977.799
Parmentiera cereifera,Árbol,7.956,Perenne,Compuesta,Zoocoria,0.189,11059.8
Phoenix roebelenii,Palma,4.0,Perenne,Compuesta (palma),Zoocoria,0.102,10906.55
Pimenta dioica,Árbol,20.536,Perenne,Simple,Zoocoria,0.431,11351.3
Plumeria rubra,Árbol,6.363,Caducifolia,Simple,Anemocoria,0.583,872.753
Polyscias guilfoyleae,Arbusto,1.9,Perenne,Compuesta,Zoocoria,0.398,19365.1
Rhapis excelsa,Palma,1.8,Perenne,Compuesta (palma),Zoocoria,0.493,9543.2
Roystonea regia,Palma,14.144,Perenne,Compuesta (palma),Zoocoria,0.468,9654.3
Spathodea campanulata,Árbol,22.35,Perenne,Compuesta,Anemocoria,0.576,1419.956
Tabebuia aurea,Árbol,14.96,Caducifolia,Compuesta,Anemocoria,0.487,1234.702
Tabernaemontana divaricata,Arbusto,1.7,Perenne,Simple,Zoocoria,0.416,1636.626
Terminalia catappa,Árbol,6.363,Caducifolia,Simple,Hidrocoria,0.538,2275.213
Thrinax radiata,Palma,9.282,Perenne,Compuesta (palma),Zoocoria,0.551,2137.624
Trachycarpus martianus,Palma,2.5,Perenne,Compuesta (palma),Zoocoria,0.483,497.141
Tradescantia pallida,Hierba,0.6,Perenne,Simple,Autocoria,0.161,26324.2
Washingtonia robusta,Palma,14.57,Perenne,Compuesta (palma),Zoocoria,0.488,11564.3
Yucca elephantippes,Arbusto suculento,1.6,Perenne,Simple,Anemocoria,0.395,1154.87
